filename,title,level,tactics,techniques,source_folder,original_path
proc_access_win_exploit_cve_2025_33053.yml,Potential Exploitation of RCE Vulnerability CVE-2025-33053 - Process Access,high,"command-and-control,execution,lateral-movement,stealth","T1105,T1218",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-33053/proc_access_win_exploit_cve_2025_33053.yml
image_load_win_exploit_cve_2025_33053.yml,Potential Exploitation of RCE Vulnerability CVE-2025-33053 - Image Load,high,"command-and-control,execution,lateral-movement,stealth","T1105,T1218",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-33053/image_load_win_exploit_cve_2025_33053.yml
proc_creation_win_exploit_cve_2025_33053.yml,Potential Exploitation of RCE Vulnerability CVE-2025-33053,high,"command-and-control,execution,lateral-movement,stealth","T1105,T1218",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-33053/proc_creation_win_exploit_cve_2025_33053.yml
proxy_exploit_cve_2025_20333.yml,Cisco ASA Exploitation Activity - Proxy,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-20333/proxy_exploit_cve_2025_20333.yml
proc_creation_win_exploit_cve_2025_30406_centrestack_portal_child_process.yml,Suspicious Process Spawned by CentreStack Portal AppPool,high,"execution,persistence","T1059.003,T1505.003",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-30406/proc_creation_win_exploit_cve_2025_30406_centrestack_portal_child_process.yml
proc_creation_win_exploit_cve_2025_57788.yml,Commvault QLogin with PublicSharingUser and GUID Password (CVE-2025-57788),medium,"initial-access,persistence,privilege-escalation,stealth",T1078.001,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-57788/proc_creation_win_exploit_cve_2025_57788.yml
proc_creation_lnx_exploit_cve_2025_5054_or_cve_2025_4598.yml,Potential Exploitation of CVE-2025-5054 or CVE-2025-4598,medium,"credential-access,privilege-escalation","T1003,T1548",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE_2025_4598/proc_creation_lnx_exploit_cve_2025_5054_or_cve_2025_4598.yml
proc_creation_win_exploit_cve_2025_49144.yml,Potential Notepad++ CVE-2025-49144 Exploitation,high,"execution,persistence,privilege-escalation,stealth",T1574.008,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-49144/proc_creation_win_exploit_cve_2025_49144.yml
proc_creation_lnx_exploit_cve_2025_55182_susp_nodejs_server_child_process.yml,Linux Suspicious Child Process from Node.js - React2Shell,high,"execution,initial-access","T1059,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-55182/proc_creation_lnx_exploit_cve_2025_55182_susp_nodejs_server_child_process.yml
proc_creation_win_exploit_cve_2025_55182_susp_nodejs_server_child_process.yml,Windows Suspicious Child Process from Node.js - React2Shell,high,"execution,initial-access","T1059,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-55182/proc_creation_win_exploit_cve_2025_55182_susp_nodejs_server_child_process.yml
win_mssql_sp_maggie.yml,MSSQL Extended Stored Procedure Backdoor Maggie,high,"persistence,privilege-escalation",T1546,rules-emerging-threats,rules-emerging-threats/2022/Malware/win_mssql_sp_maggie.yml
proc_creation_win_malware_hermetic_wiper_activity.yml,Hermetic Wiper TG Process Patterns,high,"execution,lateral-movement",T1021.001,rules-emerging-threats,rules-emerging-threats/2022/Malware/Hermetic-Wiper/proc_creation_win_malware_hermetic_wiper_activity.yml
proc_creation_win_malware_raspberry_robin_execution.yml,Raspberry Robin Subsequent Execution of Commands,high,execution,T1059.001,rules-emerging-threats,rules-emerging-threats/2022/Malware/Raspberry-Robin/proc_creation_win_malware_raspberry_robin_execution.yml
proc_creation_win_malware_raspberry_robin_single_dot_ending_file.yml,Potential Raspberry Robin Dot Ending File,high,execution,,rules-emerging-threats,rules-emerging-threats/2022/Malware/Raspberry-Robin/proc_creation_win_malware_raspberry_robin_single_dot_ending_file.yml
proc_creation_win_malware_raspberry_robin_external_drive_exec.yml,Raspberry Robin Initial Execution From External Drive,high,execution,T1059.001,rules-emerging-threats,rules-emerging-threats/2022/Malware/Raspberry-Robin/proc_creation_win_malware_raspberry_robin_external_drive_exec.yml
proc_creation_win_malware_chrome_loader_execution.yml,ChromeLoader Malware Execution,high,"execution,persistence,privilege-escalation","T1053.005,T1059.001,T1176",rules-emerging-threats,rules-emerging-threats/2022/Malware/ChromeLoader/proc_creation_win_malware_chrome_loader_execution.yml
proc_creation_win_malware_emotet_loader_execution.yml,Emotet Loader Execution Via .LNK File,high,execution,T1059.006,rules-emerging-threats,rules-emerging-threats/2022/Malware/Emotet/proc_creation_win_malware_emotet_loader_execution.yml
proc_creation_win_malware_serpent_backdoor_payload_execution.yml,Serpent Backdoor Payload Execution Via Scheduled Task,high,"execution,persistence,privilege-escalation","T1053.005,T1059.006",rules-emerging-threats,rules-emerging-threats/2022/Malware/Serpent-Backdoor/proc_creation_win_malware_serpent_backdoor_payload_execution.yml
proc_creation_win_malware_socgholish_fakeupdates_activity.yml,FakeUpdates/SocGholish Activity,high,execution,T1059.001,rules-emerging-threats,rules-emerging-threats/2022/Malware/SocGholish/proc_creation_win_malware_socgholish_fakeupdates_activity.yml
win_security_malware_bluesky_ransomware_files_indicators.yml,BlueSky Ransomware Artefacts,high,impact,T1486,rules-emerging-threats,rules-emerging-threats/2022/Malware/BlueSky-Ransomware/win_security_malware_bluesky_ransomware_files_indicators.yml
create_remote_thread_win_malware_bumblebee.yml,Potential Bumblebee Remote Thread Creation,high,"execution,stealth","T1059.001,T1218.011",rules-emerging-threats,rules-emerging-threats/2022/Malware/Bumblebee/create_remote_thread_win_malware_bumblebee.yml
proc_creation_win_apt_actinium_persistence.yml,Potential ACTINIUM Persistence Activity,high,"execution,persistence,privilege-escalation","T1053,T1053.005",rules-emerging-threats,rules-emerging-threats/2022/TA/ACTINIUM/proc_creation_win_apt_actinium_persistence.yml
proc_creation_win_apt_mercury.yml,MERCURY APT Activity,high,execution,T1059.001,rules-emerging-threats,rules-emerging-threats/2022/TA/MERCURY/proc_creation_win_apt_mercury.yml
fortios_sslvpnd_exploit_cve_2022_42475_exploitation_indicators.yml,Exploitation Indicator Of CVE-2022-42475,high,initial-access,,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-42475/fortios_sslvpnd_exploit_cve_2022_42475_exploitation_indicators.yml
proc_creation_win_exploit_cve_2022_26809_rpcss_child_process_anomaly.yml,Potential CVE-2022-26809 Exploitation Attempt,high,"execution,initial-access","T1190,T1569.002",rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-26809/proc_creation_win_exploit_cve_2022_26809_rpcss_child_process_anomaly.yml
web_cve_2022_46169_cacti_exploitation_attempt.yml,Potential CVE-2022-46169 Exploitation Attempt,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-46169/web_cve_2022_46169_cacti_exploitation_attempt.yml
